season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,week,week_total_score,week_judge_percentage,participation_weeks
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,1,20.0,18.35,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,1,13.0,11.93,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,1,18.0,16.51,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,1,20.0,18.35,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,1,20.0,18.35,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,1,18.0,16.51,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,2,26.0,21.49,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,2,17.0,14.05,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,2,14.0,11.57,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,2,24.0,19.83,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,2,21.0,17.36,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,2,19.0,15.7,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,3,24.0,22.64,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,3,21.0,19.81,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,3,13.0,12.26,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,3,26.0,24.53,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,3,22.0,20.75,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,3,0.0,0.0,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,4,21.0,22.83,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,4,26.0,28.26,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,4,0.0,0.0,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,4,25.0,27.17,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,4,20.0,21.74,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,4,0.0,0.0,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,5,27.0,36.99,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,5,23.5,32.19,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,5,0.0,0.0,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,5,0.0,0.0,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,5,22.5,30.82,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,5,0.0,0.0,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,6,27.0,49.54,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,6,27.5,50.46,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,6,0.0,0.0,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,6,0.0,0.0,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,6,0.0,0.0,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,6,0.0,0.0,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,7,,,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,7,,,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,7,,,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,7,,,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,7,,,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,7,,,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,8,,,6
1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,8,,,6
1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,8,,,6
1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,8,,,6
1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,8,,,6
1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,8,,,6
1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,9,,,6
