season,week,celebrity,total_score,avg_score,placement,results,n_judges,,,,season,week,celebrity,vote_pct
1,1,John O'Hurley,20,6.666666666666667,2,2nd Place,3,,,,1,1,John O'Hurley,0.2093947564150242
1,2,John O'Hurley,26,8.666666666666666,2,2nd Place,3,,,,1,1,Kelly Monaco,0.34899126069170694
1,3,John O'Hurley,24,8,2,2nd Place,3,,,,1,1,Evander Holyfield,0.0951794347341019
1,4,John O'Hurley,21,7,2,2nd Place,3,,,,1,1,Rachel Hunter,0.11633042023056898
1,5,John O'Hurley,27,9,2,2nd Place,3,,,,1,1,Joey McIntyre,0.1495676831535887
1,6,John O'Hurley,27,9,2,2nd Place,3,,,,1,1,Trista Sutter,0.0805364447750093
1,1,Kelly Monaco,13,4.333333333333333,1,1st Place,3,,,,1,2,John O'Hurley,0.1651276681424883
1,2,Kelly Monaco,17,5.666666666666667,1,1st Place,3,,,,1,2,Kelly Monaco,0.18830987282882303
1,3,Kelly Monaco,21,7,1,1st Place,3,,,,1,2,Evander Holyfield,0.2256030395087422
1,4,Kelly Monaco,26,8.666666666666666,1,1st Place,3,,,,1,2,Rachel Hunter,0.16988035260117873
1,5,Kelly Monaco,23.5,7.833333333333333,1,1st Place,3,,,,1,2,Joey McIntyre,0.1773235582755963
1,6,Kelly Monaco,27.5,9.166666666666666,1,1st Place,3,,,,1,2,Trista Sutter,0.07375550864317142
1,1,Evander Holyfield,18,6,5,Eliminated Week 3,3,,,,1,3,John O'Hurley,0.21138194520696227
1,2,Evander Holyfield,14,4.666666666666667,5,Eliminated Week 3,3,,,,1,3,Kelly Monaco,0.2364447081364463
1,3,Evander Holyfield,13,4.333333333333333,5,Eliminated Week 3,3,,,,1,3,Evander Holyfield,0.13708079026069558
1,1,Rachel Hunter,20,6.666666666666667,4,Eliminated Week 4,3,,,,1,3,Rachel Hunter,0.20989169365886443
1,2,Rachel Hunter,24,8,4,Eliminated Week 4,3,,,,1,3,Joey McIntyre,0.2052008627370314
1,3,Rachel Hunter,26,8.666666666666666,4,Eliminated Week 4,3,,,,1,4,John O'Hurley,0.25991727809123083
1,4,Rachel Hunter,25,8.333333333333334,4,Eliminated Week 4,3,,,,1,4,Kelly Monaco,0.25036831467304327
1,1,Joey McIntyre,20,6.666666666666667,3,3rd Place,3,,,,1,4,Rachel Hunter,0.11216599271875485
1,2,Joey McIntyre,21,7,3,3rd Place,3,,,,1,4,Joey McIntyre,0.37754841451697096
1,3,Joey McIntyre,22,7.333333333333333,3,3rd Place,3,,,,1,5,John O'Hurley,0.29577464788732394
1,4,Joey McIntyre,20,6.666666666666667,3,3rd Place,3,,,,1,5,Kelly Monaco,0.4929577464788732
1,5,Joey McIntyre,22.5,7.5,3,3rd Place,3,,,,1,5,Joey McIntyre,0.21126760563380279
1,1,Trista Sutter,18,6,6,Eliminated Week 2,3,,,,1,6,John O'Hurley,0.375
1,2,Trista Sutter,19,6.333333333333333,6,Eliminated Week 2,3,,,,1,6,Kelly Monaco,0.625
2,1,Tatum O'Neal,23,7.666666666666667,9,Eliminated Week 2,3,,,,2,1,Tatum O'Neal,0.10381958662207093
2,2,Tatum O'Neal,17,5.666666666666667,9,Eliminated Week 2,3,,,,2,1,Tia Carrere,0.09981409658734663
2,1,Tia Carrere,20,6.666666666666667,6,Eliminated Week 5,3,,,,2,1,George Hamilton,0.11864188681440957
2,2,Tia Carrere,22,7.333333333333333,6,Eliminated Week 5,3,,,,2,1,Lisa Rinna,0.1048008369825325
2,3,Tia Carrere,26,8.666666666666666,6,Eliminated Week 5,3,,,,2,1,Stacy Keibler,0.10128303992381209
2,4,Tia Carrere,25,8.333333333333334,6,Eliminated Week 5,3,,,,2,1,Jerry Rice,0.10190217529413992
2,5,Tia Carrere,22,7.333333333333333,6,Eliminated Week 5,3,,,,2,1,Giselle Fernandez,0.10150242676856559
2,1,George Hamilton,18,6,5,Eliminated Week 6,3,,,,2,1,Master P,0.11980382393090877
2,2,George Hamilton,22,7.333333333333333,5,Eliminated Week 6,3,,,,2,1,Drew Lachey,0.10382915170739533
2,3,George Hamilton,22,7.333333333333333,5,Eliminated Week 6,3,,,,2,1,Kenny Mayne,0.0446029753688186
2,4,George Hamilton,21,7,5,Eliminated Week 6,3,,,,2,2,Tatum O'Neal,0.05166810919119033
2,5,George Hamilton,24,8,5,Eliminated Week 6,3,,,,2,2,Tia Carrere,0.10584236754339817
2,6,George Hamilton,23,7.666666666666667,5,Eliminated Week 6,3,,,,2,2,George Hamilton,0.11774542546055393
2,1,Lisa Rinna,19,6.333333333333333,4,Eliminated Week 7,3,,,,2,2,Lisa Rinna,0.12842196869576256
2,2,Lisa Rinna,20,6.666666666666667,4,Eliminated Week 7,3,,,,2,2,Stacy Keibler,0.11413321895026202
2,3,Lisa Rinna,25,8.333333333333334,4,Eliminated Week 7,3,,,,2,2,Jerry Rice,0.11053090569101927
2,4,Lisa Rinna,26,8.666666666666666,4,Eliminated Week 7,3,,,,2,2,Giselle Fernandez,0.11594564806061297
2,5,Lisa Rinna,25,8.333333333333334,4,Eliminated Week 7,3,,,,2,2,Master P,0.14382679165727996
2,6,Lisa Rinna,27,9,4,Eliminated Week 7,3,,,,2,2,Drew Lachey,0.11188556474992083
2,7,Lisa Rinna,26.5,8.833333333333334,4,Eliminated Week 7,3,,,,2,3,Tia Carrere,0.11591527935268776
2,1,Stacy Keibler,22,7.333333333333333,3,3rd Place,3,,,,2,3,George Hamilton,0.13776229824910285
2,2,Stacy Keibler,29,9.666666666666666,3,3rd Place,3,,,,2,3,Lisa Rinna,0.12015172884579793
2,3,Stacy Keibler,27,9,3,3rd Place,3,,,,2,3,Stacy Keibler,0.12408663642934448
2,4,Stacy Keibler,26,8.666666666666666,3,3rd Place,3,,,,2,3,Jerry Rice,0.15479707190716946
2,5,Stacy Keibler,30,10,3,3rd Place,3,,,,2,3,Giselle Fernandez,0.04731559608854204
2,6,Stacy Keibler,30,10,3,3rd Place,3,,,,2,3,Master P,0.18971019476353462
2,7,Stacy Keibler,27.5,9.166666666666666,3,3rd Place,3,,,,2,3,Drew Lachey,0.11026119436382088
2,8,Stacy Keibler,28.6665,9.5555,3,3rd Place,3,,,,2,4,Tia Carrere,0.15229664166316242
2,1,Jerry Rice,21,7,2,2nd Place,3,,,,2,4,George Hamilton,0.1702342741902799
2,2,Jerry Rice,23,7.666666666666667,2,2nd Place,3,,,,2,4,Lisa Rinna,0.1448411428997821
2,3,Jerry Rice,19,6.333333333333333,2,2nd Place,3,,,,2,4,Stacy Keibler,0.15253481633798602
2,4,Jerry Rice,24,8,2,2nd Place,3,,,,2,4,Jerry Rice,0.1487308120602559
2,5,Jerry Rice,23,7.666666666666667,2,2nd Place,3,,,,2,4,Master P,0.08704045314281617
2,6,Jerry Rice,23,7.666666666666667,2,2nd Place,3,,,,2,4,Drew Lachey,0.14432185970571748
2,7,Jerry Rice,20.5,6.833333333333333,2,2nd Place,3,,,,2,5,Tia Carrere,0.10195112476466489
2,8,Jerry Rice,26.666600000000003,8.888866666666667,2,2nd Place,3,,,,2,5,George Hamilton,0.18169641922659677
2,1,Giselle Fernandez,23,7.666666666666667,8,Eliminated Week 3,3,,,,2,5,Lisa Rinna,0.17187991816196457
2,2,Giselle Fernandez,24,8,8,Eliminated Week 3,3,,,,2,5,Stacy Keibler,0.17647904660645777
2,3,Giselle Fernandez,22,7.333333333333333,8,Eliminated Week 3,3,,,,2,5,Jerry Rice,0.1971396347714977
2,1,Master P,12,4,7,Eliminated Week 4,3,,,,2,5,Drew Lachey,0.17085385646881826
2,2,Master P,16,5.333333333333333,7,Eliminated Week 4,3,,,,2,6,George Hamilton,0.11459031545030159
2,3,Master P,14,4.666666666666667,7,Eliminated Week 4,3,,,,2,6,Lisa Rinna,0.2197590797001455
2,4,Master P,8,2.6666666666666665,7,Eliminated Week 4,3,,,,2,6,Stacy Keibler,0.2044590725049015
2,1,Drew Lachey,24,8,1,1st Place,3,,,,2,6,Jerry Rice,0.2700980913329328
2,2,Drew Lachey,27,9,1,1st Place,3,,,,2,6,Drew Lachey,0.1910934410117186
2,3,Drew Lachey,27,9,1,1st Place,3,,,,2,7,Lisa Rinna,0.16009366723295784
2,4,Drew Lachey,28,9.333333333333334,1,1st Place,3,,,,2,7,Stacy Keibler,0.24928546070105073
2,5,Drew Lachey,27,9,1,1st Place,3,,,,2,7,Jerry Rice,0.34549022082889275
2,6,Drew Lachey,30,10,1,1st Place,3,,,,2,7,Drew Lachey,0.2451306512370986
2,7,Drew Lachey,27.5,9.166666666666666,1,1st Place,3,,,,2,8,Stacy Keibler,0.21126760563380279
2,8,Drew Lachey,28.9998,9.6666,1,1st Place,3,,,,2,8,Jerry Rice,0.29577464788732394
2,1,Kenny Mayne,13,4.333333333333333,10,Eliminated Week 1,3,,,,2,8,Drew Lachey,0.4929577464788732
3,1,Harry Hamlin,17,5.666666666666667,9,Eliminated Week 3,3,,,,3,1,Harry Hamlin,0.09805750117379645
3,2,Harry Hamlin,21,7,9,Eliminated Week 3,3,,,,3,1,Vivica A. Fox,0.09397613037106749
3,3,Harry Hamlin,22,7.333333333333333,9,Eliminated Week 3,3,,,,3,1,Monique Coleman,0.09809440177025121
3,1,Vivica A. Fox,22,7.333333333333333,8,Eliminated Week 4,3,,,,3,1,Joey Lawrence,0.09935138295983102
3,2,Vivica A. Fox,24,8,8,Eliminated Week 4,3,,,,3,1,Mario Lopez,0.0953980041169043
3,3,Vivica A. Fox,27,9,8,Eliminated Week 4,3,,,,3,1,Emmitt Smith,0.08593715487770032
3,4,Vivica A. Fox,24,8,8,Eliminated Week 4,3,,,,3,1,Shanna Moakler,0.09919895225263806
3,1,Monique Coleman,19,6.333333333333333,4,Eliminated Week 8,3,,,,3,1,Willa Ford,0.0927090237961804
